Date,Open,High,Low,Close,Volume
"Feb 02, 2024",85.63,86.90,85.22,86.32,"3,683,936"
"Feb 01, 2024",83.60,86.90,83.00,86.32,"6,412,900"
"Jan 01, 2024",75.45,86.45,74.32,82.88,"84,598,200"
"Dec 01, 2023",71.86,77.45,67.51,76.50,"94,687,200"
"Oct 31, 2023",67.29,76.09,66.75,75.87,"89,455,700"
"Sep 30, 2023",68.61,70.77,63.90,66.91,"108,316,200"
"Aug 31, 2023",64.09,72.82,63.86,68.90,"129,519,800"
"Jul 31, 2023",52.78,58.72,52.05,56.24,"81,433,900"
"Jun 30, 2023",54.00,56.10,52.36,52.92,"75,032,300"
"May 31, 2023",45.01,54.61,44.71,54.11,"121,620,500"
"Apr 30, 2023",43.49,49.10,43.39,44.81,"93,265,400"
"Mar 31, 2023",40.14,45.65,39.90,43.49,"81,915,300"
"Mar 01, 2023",40.84,40.99,35.96,40.21,"117,144,400"
"Feb 01, 2023",40.50,43.82,40.31,40.64,"68,063,200"
"Jan 01, 2023",40.56,43.10,38.99,40.62,"58,674,800"
"Dec 01, 2022",45.00,45.36,38.02,40.22,"54,769,700"
"Oct 31, 2022",38.94,45.33,37.02,44.79,"78,539,900"
"Sep 30, 2022",34.52,39.39,32.90,38.40,"61,580,900"
"Aug 31, 2022",37.93,40.76,33.81,34.17,"72,411,300"
"Jul 31, 2022",44.77,49.24,38.18,38.29,"77,817,500"
"Jun 30, 2022",45.80,46.44,41.34,45.06,"59,318,500"
"May 31, 2022",50.26,51.75,45.40,46.21,"75,861,500"
"Apr 30, 2022",46.76,52.60,38.33,49.94,"131,984,900"
"Mar 31, 2022",48.57,49.84,45.73,47.01,"84,959,500"
"Mar 01, 2022",50.02,55.30,48.98,50.19,"92,948,700"
"Feb 01, 2022",56.88,61.54,49.16,50.96,"76,672,600"
"Jan 01, 2022",56.16,60.81,53.43,56.81,"93,603,600"
"Dec 01, 2021",56.99,59.49,53.08,56.17,"84,858,000"
"Oct 31, 2021",55.42,58.00,53.01,56.47,"138,397,202"
"Sep 30, 2021",53.01,58.29,52.18,55.75,"116,876,575"
"Aug 31, 2021",49.43,53.86,47.73,52.73,"122,330,933"
"Jul 31, 2021",49.20,52.04,48.16,49.40,"69,217,969"
"Jun 30, 2021",50.23,51.12,45.91,48.97,"76,137,281"
"May 31, 2021",50.48,53.03,49.34,50.52,"103,493,322"
"Apr 30, 2021",50.28,51.55,47.63,49.99,"77,448,144"
"Mar 31, 2021",44.74,52.61,44.65,49.84,"123,707,496"
"Mar 01, 2021",41.09,46.38,41.09,44.68,"120,767,135"
"Feb 01, 2021",37.33,42.16,36.85,41.09,"98,356,024"
"Jan 01, 2021",37.45,39.39,35.57,36.94,"100,613,134"
"Dec 01, 2020",35.40,38.21,35.00,37.15,"106,485,376"
"Oct 31, 2020",31.01,35.73,30.44,34.99,"65,261,512"
"Sep 30, 2020",34.56,36.21,29.84,30.54,"64,984,110"
"Aug 31, 2020",33.66,34.91,31.78,34.31,"101,118,026"
"Jul 31, 2020",30.36,34.27,30.06,33.49,"85,312,720"
"Jun 30, 2020",27.91,31.88,25.89,30.32,"137,813,657"
"May 31, 2020",24.96,27.99,23.12,27.85,"155,379,472"
"Apr 30, 2020",21.08,25.34,19.66,25.16,"97,446,076"
"Mar 31, 2020",19.13,22.13,18.01,21.64,"106,696,288"
"Mar 01, 2020",20.64,22.15,12.93,20.05,"187,864,129"
"Feb 01, 2020",24.73,27.16,19.87,20.51,"133,433,989"
"Jan 01, 2020",26.39,26.67,24.31,24.72,"103,716,072"
"Dec 01, 2019",24.51,26.50,23.53,26.05,"98,894,850"
"Oct 31, 2019",26.95,28.73,24.55,24.58,"90,087,969"
"Sep 30, 2019",26.42,27.45,24.71,26.81,"68,360,109"
"Aug 31, 2019",25.86,28.35,25.48,26.28,"108,567,088"
"Jul 31, 2019",29.37,29.98,22.48,26.12,"153,961,478"
"Jun 30, 2019",26.46,29.99,25.65,29.27,"114,387,833"
"May 31, 2019",30.11,30.17,25.63,25.75,"103,755,728"
"Apr 30, 2019",34.41,35.76,28.95,30.18,"80,348,649"
"Mar 31, 2019",30.30,34.21,30.02,34.17,"63,518,568"
"Mar 01, 2019",29.23,31.01,26.14,29.75,"100,585,119"
